"ID","Player","Team","Position","RkOv","Status","Roster Status","FPts","Drafted","ADP","Ros","+/-","%Act","+/-","Ros","%Act"
"*050qw*","Tom Kim","null","null","79","txms","Active","0","100%","26","100%","+1%","95%","+52%","99%","42%"
"*050qx*","Seonghyeon Kim","null","null","40","919","Reserve","0","100%","73","65%","-5%","42%","-22%","70%","64%"
"*054yw*","Taylor Montgomery","null","null","11","[AW]","Reserve","0","100%","68","87%","+6%","65%","+36%","81%","29%"
"*04z4l*","Akshay Bhatia","null","null","5","NT 4","Reserve","0","0%","-","99%","+9%","76%","+53%","90%","24%"
"*01rol*","Nick Taylor","null","null","49","grrr","Reserve","0","100%","47","92%","+2%","21%","-21%","90%","43%"
"*03mop*","Will Zalatoris","null","null","167","grrr","Active","0","100%","35","98%","0%","25%","-20%","98%","45%"
"*02i28*","Emiliano Grillo","null","null","30","grrr","Active","0","100%","38","95%","-4%","26%","-68%","99%","95%"
"*02h6r*","Harris English","null","null","76","[AW]","Active","0","100%","31","94%","0%","18%","-12%","94%","30%"
"*02yk2*","Si Woo Kim","null","null","67","NT 4","Active","0","100%","51","95%","+1%","25%","-18%","94%","43%"
"*05t5b*","Pierceson Coody","null","null","247","NT 4","Reserve","0","0%","-","29%","-7%","12%","-18%","36%","31%"
"*025ci*","Hideki Matsuyama","null","null","72","u_c","Reserve","0","100%","30","99%","0%","23%","-17%","99%","40%"
"*01rp9*","Justin Thomas","null","null","118","NT 4","Active","0","100%","9","100%","0%","32%","-25%","100%","56%"
"*028im*","Thorbjorn Olesen","null","null","266","NT 4","Reserve","0","0%","-","44%","-5%","33%","-13%","48%","46%"
"*02toq*","Matthew NeSmith","null","null","52","NT 4","Reserve","0","0%","-","28%","-6%","18%","-13%","34%","31%"
"*04mkw*","Doug Ghim","null","null","23","MG","Reserve","0","100%","61","68%","+11%","57%","+3%","57%","54%"
"*060g2*","Chris Gotterup","null","null","176","919","Reserve","0","0%","-","21%","-5%","10%","-12%","25%","22%"
"*0510w*","Brandon Wu","null","null","31","NT 4","Reserve","0","100%","64","71%","-5%","53%","-18%","76%","70%"
"*01whh*","Adam Hadwin","null","null","85","txms","Reserve","0","100%","72","94%","+2%","21%","-12%","93%","32%"
"*0510x*","Cameron Young","null","null","68","NT 4","Active","0","100%","2","100%","0%","98%","+45%","100%","53%"
"*05xp0*","Ryo Hisatsune","null","null","106","grrr","Reserve","0","0%","-","55%","-4%","40%","-16%","58%","56%"
"*0401u*","Xander Schauffele","null","null","87","[AW]","Active","0","100%","15","100%","0%","26%","-22%","100%","48%"
"*05olq*","Carson Young","null","null","27","grrr","Reserve","0","0%","-","51%","+9%","43%","+6%","42%","37%"
"*02too*","Chesson Hadley","null","null","21","MG","Reserve","0","0%","-","63%","+1%","48%","-7%","62%","55%"
"*0510p*","Austin Eckroat","null","null","20","u_c","Reserve","0","0%","-","73%","-2%","48%","-19%","74%","67%"
"*05opo*","Parker Coody","null","null","145","NT 8","Reserve","0","0%","-","19%","-1%","11%","-7%","20%","18%"
"*03ppj*","Nick Hardy","null","null","7","NT 8","Reserve","0","0%","-","56%","+1%","32%","+14%","54%","18%"
"*02mut*","Patrick Rodgers","null","null","119","[AW]","Reserve","0","0%","-","75%","-11%","25%","-57%","86%","81%"
"*02oyu*","Mackenzie Hughes","null","null","41","NT 8","Active","0","100%","71","86%","-13%","25%","-67%","99%","92%"
"*01qha*","Luke List","null","null","2","919","Active","0","0%","-","100%","+2%","88%","+40%","98%","48%"
"*03cp4*","Scottie Scheffler","null","null","94","grrr","Active","0","100%","16","100%","0%","28%","-26%","100%","54%"
"*03pa9*","Adam Schenk","null","null","51","MG","Reserve","0","100%","48","76%","+4%","57%","+32%","72%","25%"
"*03uzn*","Sam Ryder","null","null","17","NT 8","Reserve","0","100%","78","71%","+6%","44%","+17%","65%","27%"
"*042bw*","Thomas Detry","null","null","61","[AW]","Reserve","0","100%","45","85%","-9%","67%","-22%","94%","89%"
"*04zhs*","Garrick Higgo","null","null","66","919","Reserve","0","0%","-","24%","-3%","14%","-10%","27%","24%"
"*030zo*","Michael Kim","null","null","65","MG","Reserve","0","0%","-","55%","-9%","34%","-26%","64%","60%"
"*04xua*","Viktor Hovland","null","null","208","MG","Active","0","100%","8","100%","0%","26%","-18%","100%","44%"
"*030zn*","Max Homa","null","null","117","919","Active","0","100%","1","99%","0%","26%","-23%","100%","49%"
"*01z7y*","Brian Harman","null","null","108","[AW]","Active","0","100%","25","95%","+1%","21%","-17%","95%","38%"
"*03oet*","Erik Van Rooyen","null","null","3","NT 4","Active","0","0%","-","100%","+1%","86%","-4%","99%","91%"
"*060yj*","Ben Griffin","null","null","8","MG","Reserve","0","0%","-","87%","+7%","61%","+36%","79%","25%"
"*041j5*","Keith Mitchell","null","null","24","grrr","Reserve","0","100%","67","90%","-2%","81%","-5%","92%","87%"
"*039u6*","Tommy Fleetwood","null","null","210","u_c","Active","0","100%","24","100%","0%","23%","-15%","99%","38%"
"*029fh*","Tom Hoge","null","null","12","MG","Reserve","0","100%","57","92%","+4%","83%","+51%","88%","32%"
"*05a2g*","Alejandro Tosti","null","null","186","txms","Reserve","0","0%","-","29%","-8%","12%","-22%","36%","34%"
"*041he*","Wesley Bryan","null","null","187","NT 8","Reserve","0","0%","-","0%","0%","0%","0%","0%","0%"
"*01uh8*","Jordan Spieth","null","null","162","[AW]","Active","0","100%","4","100%","0%","28%","-28%","100%","56%"
"*060z5*","Jacob Bridgeman","null","null","171","[AW]","Reserve","0","0%","-","10%","-2%","6%","-4%","12%","10%"
"*04ant*","Sahith Theegala","null","null","50","grrr","Active","0","100%","19","100%","0%","32%","-25%","100%","58%"
"*02ytc*","Stephan Jaeger","null","null","16","MG","Active","0","0%","-","97%","+1%","91%","+2%","96%","89%"
"*01qwg*","Alex Noren","null","null","14","u_c","Reserve","0","0%","-","91%","+13%","73%","+52%","79%","21%"
"*03fu2*","Taylor Pendrith","null","null","62","u_c","Reserve","0","0%","-","84%","-11%","57%","-31%","94%","88%"
"*04bz5*","Min Woo Lee","null","null","109","u_c","Active","0","100%","36","98%","+3%","88%","+68%","95%","20%"
"*03yr5*","Christiaan Bezuidenhout","null","null","57","grrr","Active","0","0%","-","89%","+14%","76%","+54%","75%","22%"
"*051lw*","Dylan Wu","null","null","56","NT 4","Reserve","0","100%","79","30%","0%","20%","-5%","29%","25%"
"*04ymp*","Vincent Whaley","null","null","34","NT 8","Reserve","0","0%","-","39%","-12%","12%","-28%","51%","40%"
"*064q4*","Vincent Norrman","null","null","148","u_c","Reserve","0","0%","-","42%","-5%","21%","-21%","46%","43%"
